Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",CP_Elec_5x5.7,3,22u,
"C10, C12, C16, C18, C21, C24, C3, C5, C8, C9",C0603,10,100n,
"C11, C22",C0603,2,470n,
C13,C0603,1,3.3u,
"C14, C15, C19, C20",C0603,4,220p,
"C17, C23, C6, C7",C0603,4,18p,
"D1, D2",SOD123,2,1N5819HW,
"F1, F2, F3, F4",FIDUCIAL-1X2,4,FIDUCIAL1X2,
IC1,SOT223,1,LM1117-3.3,
IC2,DBZ_R-PDSO-G3,1,LM4040B25,
IC3,MSOP-8,1,DAC8552,
"IC4, IC5",SO08,2,OPA2171,
IC6,DBZ_R-PDSO-G3,1,LM4040B10,
L1,0603,1,,
Q1,HC49UP,1,8MHz,
"Q2, Q3",SOT23-BEC,2,MMBT3904,
"R10, R23",R0603,2,33,
"R12, R14, R17, R22, R24, R26",R0603,6,39k,
"R13, R16, R28, R3",R0603,4,10k,
"R15, R27",R0603,2,100k,
"R18, R29",R0603,2,249k,
"R19, R30",R0603,2,309k,
"R2, R4, R6, R7, R8",R0603,5,100,
"R20, R31",R0603,2,1.0k,
"R25, R9",R0603,2,3.3k,
"SW3, SW5",EVQ-Q2,2,,
UC1,LQFP48,1,STM32F103CBT6,
